2023-11-21 21:11:22.902532|('127.0.0.1', 58796)
2023-11-21 21:11:23.904810|('127.0.0.1', 58796)
2023-11-21 21:11:24.955760|('127.0.0.1', 58796)
2023-11-21 21:11:26.008116|('127.0.0.1', 58796)
2023-11-21 21:11:27.056091|('127.0.0.1', 58796)
2023-11-21 21:11:28.106351|('127.0.0.1', 58796)
2023-11-21 21:11:29.156418|('127.0.0.1', 58796)
2023-11-21 21:11:30.206507|('127.0.0.1', 58796)
2023-11-21 21:11:31.256852|('127.0.0.1', 58796)
2023-11-21 21:11:32.307000|('127.0.0.1', 58796)
2023-11-21 21:11:22.902862|('127.0.0.1', 58812)
2023-11-21 21:11:34.359177|('127.0.0.1', 58812)
2023-11-21 21:11:35.360977|('127.0.0.1', 58812)
2023-11-21 21:11:36.406713|('127.0.0.1', 58812)
2023-11-21 21:11:37.456479|('127.0.0.1', 58812)
2023-11-21 21:11:38.506721|('127.0.0.1', 58812)
2023-11-21 21:11:39.556251|('127.0.0.1', 58812)
2023-11-21 21:11:40.606752|('127.0.0.1', 58812)
2023-11-21 21:11:41.656511|('127.0.0.1', 58812)
2023-11-21 21:11:42.706562|('127.0.0.1', 58812)
2023-11-21 21:11:22.902738|('127.0.0.1', 58804)
2023-11-21 21:11:44.758520|('127.0.0.1', 58804)
2023-11-21 21:11:45.760305|('127.0.0.1', 58804)
2023-11-21 21:11:46.806577|('127.0.0.1', 58804)
2023-11-21 21:11:47.866333|('127.0.0.1', 58804)
2023-11-21 21:11:48.916493|('127.0.0.1', 58804)
2023-11-21 21:11:49.966805|('127.0.0.1', 58804)
2023-11-21 21:11:51.016606|('127.0.0.1', 58804)
2023-11-21 21:11:52.066791|('127.0.0.1', 58804)
2023-11-21 21:11:53.116695|('127.0.0.1', 58804)
